time,latitude,longitude,depth,mag
1982-05-07T07:44:15.350Z,32.611,75.887,33,4.8
1981-12-14T18:25:43.900Z,33.028,75.463,64.8,4.5
1981-11-09T19:31:02.050Z,33.348,75.754,33,4.6
1981-09-27T11:10:41.970Z,33.24,75.518,33,4.5
1981-09-15T03:31:59.020Z,34.826,77.379,48.7,4.5
1981-08-31T12:31:44.180Z,34.58,78.972,33,4.8
1981-08-17T09:11:21.510Z,33.268,75.439,57.7,4.8
1981-07-12T08:45:41.150Z,32.735,76.001,49.8,4.5
1981-06-23T19:54:02.120Z,34.1,74.669,33,4.9
1980-10-05T10:47:18.400Z,34.65,74.335,33,4.2
1980-09-22T20:37:55.000Z,32.458,78.519,65,4.7
1980-08-23T21:50:03.000Z,32.834,75.629,33,5.2
1980-08-23T21:36:51.600Z,32.913,75.633,25,5.2
1980-05-01T05:43:12.700Z,33.019,75.918,33,5
1980-05-01T05:39:04.200Z,33.055,75.985,35,4.7
1980-01-07T12:45:20.600Z,33.14,75.854,33,4.8
1979-12-22T22:28:47.300Z,33.151,75.836,33,4.8
1979-07-02T16:30:48.900Z,34.436,74.301,106,4.5
1979-07-02T16:27:06.400Z,34.797,74.959,90,4.4
1979-06-11T23:25:35.300Z,33.108,76.23,46,4.6
1979-05-27T06:11:25.600Z,33.548,76.373,20,4.8
1979-05-11T21:56:38.600Z,32.087,78.809,33,4.4
1978-09-28T05:32:16.300Z,33.512,76.152,35,4.7
1978-06-14T16:12:06.800Z,32.31,76.522,18,5
1978-04-11T07:55:39.400Z,32.633,78.618,33,4.5
1978-03-30T23:44:47.600Z,32.849,78.304,50,4.2
1978-02-23T02:01:28.400Z,33.487,76.05,36,4.9
1977-12-21T02:08:10.000Z,32.837,76.634,33,5.1
1977-12-20T19:12:34.900Z,33.397,76.075,33,4.7
1977-10-19T07:14:46.700Z,32.737,78.412,33,4.8
1977-09-13T20:59:22.000Z,34.895,76.496,213,4.7
1977-06-22T15:53:27.600Z,33.149,76.012,36,4.8
1977-03-27T05:36:49.200Z,32.706,78.545,26,5
1977-01-21T14:57:45.500Z,32.838,75.794,51,4.6
1976-07-06T02:55:51.900Z,32.284,78.275,56,4.8
1976-05-22T18:32:53.900Z,32.73,75.694,89,4.3
1976-04-16T20:15:15.100Z,32.871,76.011,92,4
1976-04-12T23:16:53.600Z,33.142,76.051,58,3.7
1976-04-10T07:09:18.000Z,32.727,76.511,50,4.5
1976-03-04T18:45:43.000Z,32.557,75.427,121,3.7
1976-02-25T07:45:26.900Z,32.854,74.297,84,4.5
1976-01-27T19:23:19.800Z,33.079,76.071,33,4.8
1976-01-09T23:50:10.600Z,32.985,76.024,22,4.7
1976-01-08T22:34:24.900Z,33.021,76.186,33,5
1976-01-07T00:24:54.100Z,32.854,75.964,50,5.4
